archivo,frame,angulo_rodilla_izquierda_kinovea,angulo_rodilla_izquierda_mediapipe,diferencia_rodilla_izquierda
70,2,173.641,179.601,-5.96
70,3,169.925,177.923,-7.998
70,4,169.106,175.29,-6.184
70,5,167.169,172.447,-5.278
70,6,166.836,170.961,-4.125
70,7,165.01,166.901,-1.891
70,8,166.429,165.574,0.855
70,9,165.224,165.474,-0.25
71,1,177.848,178.46,-0.612
71,2,178.479,176.592,1.887
71,3,177.167,175.962,1.205
71,4,177.283,176.206,1.077
71,5,174.703,176.964,-2.261
71,6,172.706,177.693,-4.987
71,7,171.476,179.693,-8.217
71,8,170.984,177.545,-6.561
71,9,173.069,176.476,-3.407
71,10,172.679,177.867,-5.188
71,11,174.964,179.375,-4.411
72,0,169.113,170.664,-1.551
72,1,171.937,169.546,2.391
72,2,171.773,172.894,-1.121
72,3,179.738,174.322,5.416
72,4,177.793,175.966,1.827
72,5,176.262,176.819,-0.557
72,6,170.827,179.621,-8.794
72,7,168.584,177.498,-8.914
72,8,168.388,174.46,-6.072
72,9,165.57,172.596,-7.026
72,10,168.03,171.532,-3.502
72,11,167.97,170.98,-3.01
73,0,177.538,169.491,8.047
73,1,176.575,176.811,-0.236
73,2,173.174,179.733,-6.559
73,3,172.074,177.85,-5.776
73,4,173.253,173.42,-0.167
73,5,171.433,170.767,0.666
73,6,169.883,169.489,0.394
73,7,169.223,170.274,-1.051
73,8,169.457,170.08,-0.623
73,9,168.165,170.219,-2.054
73,10,170.9,178.385,-7.485
73,11,175.999,178.385,-2.386
74,0,172.8,47.308,125.492
74,1,171.739,37.252,134.487
74,2,168.866,27.336,141.53
74,3,163.187,39.545,123.642
74,4,161.926,38.329,123.597
74,5,163.215,114.317,48.898
74,6,163.124,153.872,9.252
74,7,166.521,161.475,5.046
74,8,168.438,169.974,-1.536
74,9,171.447,174.867,-3.42
74,10,175.824,177.495,-1.671
74,11,177.02,179.505,-2.485
74,12,177.364,179.346,-1.982
74,13,173.16,179.532,-6.372
78,0,159.417,170.029,-10.612
78,1,157.644,169.757,-12.113
78,2,153.65,171.782,-18.132
78,3,157.768,169.692,-11.924
78,4,158.77,165.859,-7.089
78,5,160.336,168.974,-8.638
78,6,163.399,164.775,-1.376
78,7,167.324,166.462,0.862
78,8,168.009,170.966,-2.957
78,9,170.283,174.419,-4.136
78,10,170.17,175.794,-5.624
78,11,172.881,175.269,-2.388
78,12,171.844,175.411,-3.567
78,13,170.58,174.649,-4.069
78,14,167.896,175.093,-7.197
83,0,166.715,163.78,2.935
83,1,167.412,163.455,3.957
83,2,170.624,165.28,5.344
83,3,172.85,169.172,3.678
83,4,174.087,173.139,0.948
83,5,176.679,176.409,0.27
83,6,176.527,177.06,-0.533
83,7,176.436,177.389,-0.953
83,8,178.55,177.91,0.64
84,0,166.977,159.0,7.977
84,1,157.371,156.242,1.129
84,2,155.691,157.304,-1.613
84,3,155.156,157.885,-2.729
84,4,159.046,157.039,2.007
84,5,162.27,144.673,17.597
84,6,163.573,172.46,-8.887
84,7,164.535,171.854,-7.319
84,8,166.218,169.847,-3.629
84,9,165.261,167.698,-2.437
84,10,165.132,167.848,-2.716
84,11,165.599,168.36,-2.761
84,12,161.464,169.525,-8.061
85,0,158.957,160.34,-1.383
85,1,153.417,154.754,-1.337
85,2,156.09,154.649,1.441
85,3,157.651,156.52,1.131
85,4,158.566,157.587,0.979
85,5,160.005,158.773,1.232
85,6,162.218,159.604,2.614
85,7,163.557,160.5,3.057
85,8,163.978,161.194,2.784
85,9,162.763,161.697,1.066
86,1,161.426,163.48,-2.054
86,2,158.306,161.768,-3.462
86,3,158.489,160.78,-2.291
86,4,158.499,159.995,-1.496
86,5,158.496,159.292,-0.796
86,6,160.217,158.509,1.708
86,7,158.592,157.283,1.309
86,8,160.691,158.608,2.083
87,1,162.048,166.152,-4.104
87,2,160.805,164.121,-3.316
87,3,160.734,164.16,-3.426
87,4,162.006,163.774,-1.768
87,5,162.707,162.125,0.582
87,6,161.672,162.265,-0.593
87,7,164.612,162.648,1.964
87,8,165.81,164.938,0.872
88,2,158.332,164.613,-6.281
88,3,157.343,160.606,-3.263
88,4,158.467,158.821,-0.354
88,5,158.427,157.677,0.75
88,6,158.955,158.81,0.145
88,7,159.831,160.03,-0.199
89,2,160.675,159.912,0.763
89,3,160.001,158.957,1.044
89,4,158.657,158.138,0.519
89,5,158.376,156.721,1.655
89,6,157.63,157.501,0.129
90,0,169.886,162.888,6.998
90,1,167.234,155.552,11.682
90,2,164.591,147.68,16.911
90,3,166.393,156.989,9.404
90,4,165.836,159.375,6.461
90,5,165.5,162.928,2.572
90,6,165.057,165.428,-0.371
90,7,165.859,167.272,-1.413
90,8,164.731,166.644,-1.913
90,9,168.216,166.56,1.656
91,2,162.388,158.795,3.593
91,3,159.803,159.099,0.704
91,4,160.471,159.178,1.293
91,5,163.782,159.262,4.52
91,6,165.031,162.847,2.184
91,7,165.83,163.713,2.117
91,8,166.895,164.456,2.439
92,3,157.922,154.998,2.924
