archivo,frame,angulo_rodilla_kinovea,angulo_rodilla_mediapipe,angulo_pie_kinovea,angulo_pie_mediapipe,diferencia_rodilla,diferencia_pie
54,6,163.558,158.682,82.387,65.451,4.876,16.936
54,7,174.949,173.24,81.066,99.887,1.709,-18.821
54,8,175.406,177.949,98.341,71.539,-2.543,26.802
54,9,176.111,173.65,91.647,68.705,2.461,22.942
54,10,179.383,169.423,91.694,60.392,9.96,31.302
55,0,90.133,97.688,86.227,89.927,-7.555,-3.7
55,1,87.013,98.23,88.388,77.413,-11.217,10.975
55,2,91.692,95.407,97.467,83.374,-3.715,14.093
55,3,94.61,102.307,93.215,85.93,-7.697,7.285
55,4,114.135,118.813,100.416,62.06,-4.678,38.356
55,5,144.518,152.009,91.706,66.179,-7.491,25.527
55,6,162.034,159.919,99.507,66.699,2.115,32.808
55,7,179.787,179.267,80.586,90.308,0.52,-9.722
55,8,178.826,173.233,89.082,70.52,5.593,18.562
55,9,177.133,170.669,70.655,47.421,6.464,23.234
56,0,106.72,106.712,91.42,88.852,0.008,2.568
56,1,111.238,114.123,116.208,94.713,-2.885,21.495
56,2,123.289,121.639,104.584,97.33,1.65,7.254
56,3,139.393,140.185,102.259,58.065,-0.792,44.194
56,4,159.189,158.67,86.495,73.835,0.519,12.66
56,5,175.148,162.165,53.185,81.889,12.983,-28.704
56,6,176.057,175.395,78.185,64.556,0.662,13.629
56,7,171.716,170.036,112.875,101.184,1.68,11.691
56,8,175.799,175.803,101.439,90.612,-0.004,10.827
57,0,97.673,107.375,75.754,85.786,-9.702,-10.032
57,1,102.599,106.761,98.13,81.761,-4.162,16.369
57,2,100.583,103.595,107.736,74.313,-3.012,33.423
57,3,111.387,113.7,83.698,90.315,-2.313,-6.617
57,4,123.82,128.147,92.454,57.036,-4.327,35.418
57,5,148.558,151.981,92.461,71.704,-3.423,20.757
57,6,169.214,166.166,75.491,97.837,3.048,-22.346
57,7,173.886,178.288,79.785,88.962,-4.402,-9.177
57,8,176.109,171.383,93.348,54.558,4.726,38.79
58,0,81.811,90.009,88.607,86.667,-8.198,1.94
58,1,78.267,86.362,95.519,83.245,-8.095,12.274
58,2,81.478,82.121,89.973,87.564,-0.643,2.409
58,3,86.69,88.044,81.284,75.374,-1.354,5.91
58,4,104.186,105.514,85.884,66.682,-1.328,19.202
58,5,133.224,138.463,81.801,64.806,-5.239,16.995
58,6,157.156,157.464,92.618,61.142,-0.308,31.476
58,7,172.737,174.106,96.215,83.386,-1.369,12.829
58,8,177.567,176.243,89.016,77.161,1.324,11.855
58,9,178.376,177.803,72.239,46.338,0.573,25.901
58,10,179.188,174.306,66.357,48.936,4.882,17.421
58,11,176.431,176.642,68.725,53.375,-0.211,15.35
58,12,174.081,173.42,65.395,54.344,0.661,11.051
58,13,172.324,174.057,64.054,60.948,-1.733,3.106
58,14,169.499,173.273,67.044,52.718,-3.774,14.326
58,15,165.398,170.376,64.527,55.387,-4.978,9.14
58,16,161.961,167.961,56.675,55.331,-6.0,1.344
58,17,163.367,166.997,55.903,52.713,-3.63,3.19
58,18,161.378,165.668,57.746,58.092,-4.29,-0.346
58,19,159.029,164.454,62.849,54.153,-5.425,8.696
59,0,90.478,95.019,88.112,71.055,-4.541,17.057
59,1,92.778,92.529,99.774,79.365,0.249,20.409
59,2,93.543,90.307,99.011,92.312,3.236,6.699
59,3,106.358,103.015,85.48,82.689,3.343,2.791
59,4,127.122,126.974,86.404,57.804,0.148,28.6
59,5,153.225,154.657,97.562,74.455,-1.432,23.107
59,6,175.446,169.141,71.644,80.37,6.305,-8.726
59,7,173.014,178.974,82.705,76.426,-5.96,6.279
59,8,174.577,176.883,79.712,50.619,-2.306,29.093
59,9,179.033,174.807,84.126,57.758,4.226,26.368
59,10,176.869,176.952,77.407,60.919,-0.083,16.488
59,11,174.074,174.818,65.82,51.243,-0.744,14.577
59,12,171.814,174.437,55.974,49.472,-2.623,6.502
59,13,169.274,175.368,42.925,50.48,-6.094,-7.555
59,14,165.84,171.667,43.908,50.128,-5.827,-6.22
59,15,163.243,169.262,45.0,45.855,-6.019,-0.855
60,0,94.228,102.627,80.397,89.369,-8.399,-8.972
60,1,96.398,99.154,100.042,90.244,-2.756,9.798
60,2,93.601,92.71,103.456,87.525,0.891,15.931
60,3,95.918,96.625,91.598,77.267,-0.707,14.331
60,4,112.118,112.59,87.443,66.464,-0.472,20.979
