archivo,frame,angulo_rodilla_kinovea,angulo_rodilla_mediapipe,angulo_pie_kinovea,angulo_pie_mediapipe,diferencia_rodilla,diferencia_pie
42,1,119.256,131.493,52.399,59.786,-12.237,-7.387
42,2,113.525,121.048,52.096,56.219,-7.523,-4.123
42,3,111.711,116.64,50.819,51.664,-4.929,-0.845
42,4,112.244,116.688,49.538,47.93,-4.444,1.608
42,5,110.026,113.069,48.876,47.564,-3.043,1.312
42,6,118.277,114.588,47.979,51.435,3.689,-3.456
42,7,124.154,118.602,49.695,49.78,5.552,-0.085
42,8,124.354,128.24,46.905,49.181,-3.886,-2.276
42,9,129.187,130.198,47.428,49.137,-1.011,-1.709
42,10,132.692,133.882,46.612,48.586,-1.19,-1.974
43,0,127.192,136.918,53.268,58.396,-9.726,-5.128
43,1,121.217,125.221,48.546,54.642,-4.004,-6.096
43,2,115.226,115.233,48.465,54.409,-0.007,-5.944
43,3,114.671,111.658,48.465,52.359,3.013,-3.894
43,4,113.766,106.907,47.433,49.536,6.859,-2.103
43,5,114.278,106.715,43.92,50.853,7.563,-6.933
43,6,116.364,118.127,44.758,47.628,-1.763,-2.87
43,7,115.174,116.099,44.758,48.089,-0.925,-3.331
43,8,117.679,118.219,44.758,47.742,-0.54,-2.984
43,9,120.209,120.624,45.789,46.716,-0.415,-0.927
45,0,130.267,136.476,52.626,49.053,-6.209,3.573
45,1,122.437,131.431,51.725,49.221,-8.994,2.504
45,2,118.588,123.794,48.841,48.238,-5.206,0.603
45,3,118.626,121.321,49.27,46.928,-2.695,2.342
45,4,119.621,120.176,48.955,47.049,-0.555,1.906
45,5,121.459,121.774,49.665,45.026,-0.315,4.639
45,6,125.209,129.744,49.711,44.572,-4.535,5.139
45,7,126.614,125.214,47.649,44.825,1.4,2.824
45,8,127.992,130.925,45.192,45.462,-2.933,-0.27
45,9,127.56,133.964,45.821,46.896,-6.404,-1.075
45,10,130.576,135.15,41.946,48.49,-4.574,-6.544
46,0,122.745,126.098,56.4,45.841,-3.353,10.559
46,1,113.048,121.239,51.345,47.272,-8.191,4.073
46,2,107.58,112.078,47.48,46.814,-4.498,0.666
46,3,106.977,110.02,45.933,46.351,-3.043,-0.418
46,4,108.334,110.542,44.752,46.032,-2.208,-1.28
46,5,109.227,112.658,43.204,45.264,-3.431,-2.06
46,6,113.169,117.693,40.986,43.251,-4.524,-2.265
46,7,115.638,126.689,41.502,43.851,-11.051,-2.349
46,8,117.316,125.481,40.621,46.671,-8.165,-6.05
46,9,118.896,131.07,40.518,46.632,-12.174,-6.114
46,10,126.609,135.068,36.265,45.799,-8.459,-9.534
47,0,131.086,140.426,58.981,50.391,-9.34,8.59
47,1,126.179,133.756,50.07,51.454,-7.577,-1.384
47,2,121.541,126.916,47.068,49.138,-5.375,-2.07
47,3,114.997,118.717,44.58,45.662,-3.72,-1.082
47,4,117.305,114.204,43.949,45.127,3.101,-1.178
47,5,119.93,115.919,43.957,44.622,4.011,-0.665
47,6,122.918,125.831,45.255,46.948,-2.913,-1.693
47,7,125.441,124.817,41.74,44.713,0.624,-2.973
47,8,128.215,119.216,43.948,45.976,8.999,-2.028
47,9,133.829,122.828,40.686,46.95,11.001,-6.264
48,0,128.421,137.327,52.352,56.138,-8.906,-3.786
48,1,120.45,127.914,48.075,49.067,-7.464,-0.992
48,2,116.344,121.71,45.759,44.576,-5.366,1.183
48,3,113.882,119.531,46.412,44.104,-5.649,2.308
48,4,115.412,117.034,43.987,44.873,-1.622,-0.886
48,5,118.548,118.373,42.091,49.093,0.175,-7.002
48,6,120.287,126.248,45.978,47.817,-5.961,-1.839
48,7,122.728,125.493,47.228,47.026,-2.765,0.202
48,8,124.58,124.029,44.678,46.35,0.551,-1.672
48,9,126.701,128.635,47.472,45.742,-1.934,1.73
49,0,125.999,124.15,62.06,55.338,1.849,6.722
49,1,116.82,122.346,53.666,53.981,-5.526,-0.315
49,2,108.025,120.631,53.398,52.63,-12.606,0.768
49,3,107.903,118.515,52.157,50.278,-10.612,1.879
