archivo,frame,angulo_rodilla_kinovea,angulo_rodilla_mediapipe,angulo_pie_kinovea,angulo_pie_mediapipe,diferencia1,diferencia2
34,9,69.514,89.667,56.608,41.661,-20.153,14.947
34,10,69.719,88.559,55.736,42.514,-18.84,13.222
34,11,65.795,89.112,54.317,42.08,-23.317,12.237
35,0,95.018,111.461,57.961,56.438,-16.443,1.523
35,1,87.272,111.461,56.725,56.438,-24.189,0.287
35,2,80.454,103.827,56.725,54.768,-23.373,1.957
35,3,78.494,95.104,52.428,53.361,-16.61,-0.933
35,4,78.418,94.197,52.428,53.75,-15.779,-1.322
35,5,80.19,89.669,54.716,50.405,-9.479,4.311
35,6,80.262,95.02,54.045,45.86,-14.758,8.185
35,7,80.236,97.926,51.04,41.715,-17.69,9.325
35,8,80.923,98.907,49.883,41.165,-17.984,8.718
35,9,77.314,95.833,47.168,41.955,-18.519,5.213
35,10,73.468,88.399,57.318,41.052,-14.931,16.266
36,0,109.811,140.192,62.309,52.838,-30.381,9.471
36,1,96.513,120.15,61.307,58.917,-23.637,2.39
36,2,87.548,109.895,55.923,59.81,-22.347,-3.887
36,3,84.466,99.987,55.923,41.264,-15.521,14.659
36,4,79.802,92.713,55.923,47.654,-12.911,8.269
36,5,78.398,82.52,53.433,52.135,-4.122,1.298
36,6,73.372,82.013,60.44,49.097,-8.641,11.343
36,7,68.977,80.477,55.657,48.394,-11.5,7.263
36,8,65.123,81.087,48.226,44.432,-15.964,3.794
36,9,61.567,82.045,43.025,42.005,-20.478,1.02
36,10,59.306,72.121,47.008,35.137,-12.815,11.871
36,11,55.611,69.906,45.181,31.003,-14.295,14.178
37,0,115.192,126.708,73.016,59.308,-11.516,13.708
37,1,106.968,121.959,70.949,59.722,-14.991,11.227
37,2,103.407,117.985,70.178,57.881,-14.578,12.297
37,3,100.45,114.922,72.227,57.722,-14.472,14.505
37,4,100.107,113.875,72.408,55.917,-13.768,16.491
37,5,101.998,115.026,74.119,55.803,-13.028,18.316
37,6,103.152,120.903,73.473,60.757,-17.751,12.716
37,7,103.279,121.55,74.741,60.505,-18.271,14.236
37,8,102.694,121.07,76.056,57.666,-18.376,18.39
37,9,104.014,117.781,75.218,55.691,-13.767,19.527
37,10,105.479,115.288,75.29,55.639,-9.809,19.651
38,1,104.724,133.555,77.914,45.969,-28.831,31.945
38,2,94.915,120.63,84.112,53.678,-25.715,30.434
38,3,85.723,110.269,78.707,53.612,-24.546,25.095
38,4,80.211,101.286,77.371,50.585,-21.075,26.786
38,5,77.475,89.929,67.811,48.453,-12.454,19.358
38,6,74.027,84.899,70.883,48.094,-10.872,22.789
38,7,71.822,90.392,71.808,53.513,-18.57,18.295
38,8,70.909,87.478,69.148,53.48,-16.569,15.668
38,9,70.111,91.852,62.881,55.95,-21.741,6.931
38,10,65.833,84.137,67.292,55.998,-18.304,11.294
38,11,61.554,76.473,59.232,50.763,-14.919,8.469
38,12,57.785,73.619,62.935,47.075,-15.834,15.86
39,0,129.928,145.475,59.73,55.08,-15.547,4.65
39,1,118.128,137.017,54.521,54.682,-18.889,-0.161
